,Date_Time,CO(GT)
0,2004-03-10 18:00:00,2.6
1,2004-03-10 19:00:00,2.0
2,2004-03-10 20:00:00,2.2
3,2004-03-10 21:00:00,2.2
4,2004-03-10 22:00:00,1.6
5,2004-03-10 23:00:00,1.2
6,2004-03-11 00:00:00,1.2
7,2004-03-11 01:00:00,1.0
8,2004-03-11 02:00:00,0.9
9,2004-03-11 03:00:00,0.6
10,2004-03-11 04:00:00,2.1527495439145157
11,2004-03-11 05:00:00,0.7
12,2004-03-11 06:00:00,0.7
13,2004-03-11 07:00:00,1.1
14,2004-03-11 08:00:00,2.0
15,2004-03-11 09:00:00,2.2
16,2004-03-11 10:00:00,1.7
17,2004-03-11 11:00:00,1.5
18,2004-03-11 12:00:00,1.6
19,2004-03-11 13:00:00,1.9
20,2004-03-11 14:00:00,2.9
21,2004-03-11 15:00:00,2.2
22,2004-03-11 16:00:00,2.2
23,2004-03-11 17:00:00,2.9
24,2004-03-11 18:00:00,4.8
25,2004-03-11 19:00:00,6.9
26,2004-03-11 20:00:00,6.1
27,2004-03-11 21:00:00,3.9
28,2004-03-11 22:00:00,1.5
29,2004-03-11 23:00:00,1.0
30,2004-03-12 00:00:00,1.7
31,2004-03-12 01:00:00,1.9
32,2004-03-12 02:00:00,1.4
33,2004-03-12 03:00:00,0.8
34,2004-03-12 04:00:00,2.1527495439145157
35,2004-03-12 05:00:00,0.6
36,2004-03-12 06:00:00,0.8
37,2004-03-12 07:00:00,1.4
38,2004-03-12 08:00:00,4.4
39,2004-03-12 09:00:00,2.1527495439145157
40,2004-03-12 10:00:00,3.1
41,2004-03-12 11:00:00,2.7
42,2004-03-12 12:00:00,2.1
43,2004-03-12 13:00:00,2.5
44,2004-03-12 14:00:00,2.7
45,2004-03-12 15:00:00,2.9
46,2004-03-12 16:00:00,2.8
47,2004-03-12 17:00:00,2.4
48,2004-03-12 18:00:00,3.9
49,2004-03-12 19:00:00,3.7
50,2004-03-12 20:00:00,6.6
51,2004-03-12 21:00:00,4.4
52,2004-03-12 22:00:00,3.5
53,2004-03-12 23:00:00,5.4
54,2004-03-13 00:00:00,2.7
55,2004-03-13 01:00:00,1.9
56,2004-03-13 02:00:00,1.6
57,2004-03-13 03:00:00,1.7
58,2004-03-13 04:00:00,2.1527495439145157
59,2004-03-13 05:00:00,1.0
60,2004-03-13 06:00:00,1.2
61,2004-03-13 07:00:00,1.5
62,2004-03-13 08:00:00,2.7
63,2004-03-13 09:00:00,3.7
64,2004-03-13 10:00:00,3.2
65,2004-03-13 11:00:00,4.1
66,2004-03-13 12:00:00,3.6
67,2004-03-13 13:00:00,2.8
68,2004-03-13 14:00:00,2.0
69,2004-03-13 15:00:00,2.0
70,2004-03-13 16:00:00,2.5
71,2004-03-13 17:00:00,2.3
72,2004-03-13 18:00:00,3.2
73,2004-03-13 19:00:00,4.2
74,2004-03-13 20:00:00,4.2
